level,dimensions,kg,representation,prompt_type,temperature_label,cq_complexity,n,syntax_ok_count,syntax_ok_rate,satisfiable_count,satisfiable_rate,deterministic_count,deterministic_rate,all_checks_passed_count,all_checks_passed_rate,nonzero_rows_count,nonzero_rows_rate,avg_rows
kg,kg,core_scholar_rich,,,,,180,179,0.9944,145,0.8056,179,0.9944,145,0.8056,144,0.8,15.9056
kg,kg,core_scholar_shallow,,,,,180,179,0.9944,120,0.6667,178,0.9889,120,0.6667,120,0.6667,12.2833
kg,kg,kwg,,,,,180,178,0.9889,76,0.4222,178,0.9889,76,0.4222,78,0.4333,160.8333
kg,kg,kwg_lite,,,,,180,179,0.9944,130,0.7222,178,0.9889,129,0.7167,130,0.7222,25.1222
cq_complexity,cq_complexity,,,,,complex,240,236,0.9833,79,0.3292,234,0.975,78,0.325,78,0.325,6.1792
cq_complexity,cq_complexity,,,,,moderate,240,239,0.9958,181,0.7542,239,0.9958,181,0.7542,183,0.7625,28.2458
cq_complexity,cq_complexity,,,,,simple,240,240,1.0,211,0.8792,240,1.0,211,0.8792,211,0.8792,126.1833
representation,representation,,axiom,,,,240,238,0.9917,171,0.7125,237,0.9875,170,0.7083,170,0.7083,50.55
representation,representation,,nen,,,,240,240,1.0,150,0.625,239,0.9958,150,0.625,151,0.6292,65.6917
representation,representation,,ttl,,,,240,237,0.9875,150,0.625,237,0.9875,150,0.625,151,0.6292,44.3667
prompt_type,prompt_type,,,0_shot,,,360,358,0.9944,214,0.5944,358,0.9944,214,0.5944,214,0.5944,53.5583
prompt_type,prompt_type,,,cot,,,360,357,0.9917,257,0.7139,355,0.9861,256,0.7111,258,0.7167,53.5139
temperature_label,temperature_label,,,,temp0.0,,360,359,0.9972,233,0.6472,359,0.9972,233,0.6472,233,0.6472,47.3194
temperature_label,temperature_label,,,,temp1.0,,360,356,0.9889,238,0.6611,354,0.9833,237,0.6583,239,0.6639,59.7528
kg__cq_complexity,kg|cq_complexity,core_scholar_rich,,,,complex,60,59,0.9833,31,0.5167,59,0.9833,31,0.5167,30,0.5,6.7167
kg__cq_complexity,kg|cq_complexity,core_scholar_rich,,,,moderate,60,60,1.0,57,0.95,60,1.0,57,0.95,57,0.95,22.5
kg__cq_complexity,kg|cq_complexity,core_scholar_rich,,,,simple,60,60,1.0,57,0.95,60,1.0,57,0.95,57,0.95,18.5
kg__cq_complexity,kg|cq_complexity,core_scholar_shallow,,,,complex,60,59,0.9833,14,0.2333,58,0.9667,14,0.2333,14,0.2333,3.85
kg__cq_complexity,kg|cq_complexity,core_scholar_shallow,,,,moderate,60,60,1.0,54,0.9,60,1.0,54,0.9,54,0.9,18.0
kg__cq_complexity,kg|cq_complexity,core_scholar_shallow,,,,simple,60,60,1.0,52,0.8667,60,1.0,52,0.8667,52,0.8667,15.0
kg__cq_complexity,kg|cq_complexity,kwg,,,,complex,60,59,0.9833,4,0.0667,59,0.9833,4,0.0667,4,0.0667,0.7333
kg__cq_complexity,kg|cq_complexity,kwg,,,,moderate,60,59,0.9833,25,0.4167,59,0.9833,25,0.4167,27,0.45,23.2167
